trike_id,hub_id,start_tick,end_tick
trike0,hub8,601,1080
trike1,hub8,388,1080
trike2,hub8,494,1080
trike3,hub8,352,1080
trike4,hub8,507,1007
trike5,hub8,288,1080
trike6,hub8,225,1080
trike7,hub8,382,1080
trike8,hub8,352,1080
trike9,hub8,254,1080
trike10,hub7,411,1080
trike11,hub7,406,1080
trike12,hub7,249,1080
trike13,hub7,436,1060
trike14,hub7,338,939
trike15,hub6,298,1080
trike16,hub6,345,1080
trike17,hub6,413,1080
trike18,hub6,421,595
trike19,hub6,417,1080
trike20,hub5,556,923
trike21,hub5,349,1080
trike22,hub5,343,1080
trike23,hub5,414,1080
trike24,hub5,410,1080
trike25,hub5,380,1080
trike26,hub5,474,1080
trike27,hub5,358,1080
trike28,hub5,438,1080
trike29,hub5,444,1080
trike30,hub4,338,1080
trike31,hub4,664,1080
trike32,hub4,271,1080
trike33,hub4,520,1080
trike34,hub4,489,1080
trike35,hub3,459,966
trike36,hub3,464,1080
trike37,hub3,699,1080
trike38,hub3,583,1080
trike39,hub3,454,1080
trike40,hub2,233,1080
trike41,hub2,411,1080
trike42,hub2,519,1080
trike43,hub2,427,1080
trike44,hub2,411,900
trike45,hub1,358,1001
trike46,hub1,241,1080
trike47,hub1,394,951
trike48,hub1,241,1080
trike49,hub1,407,1080
trike50,hub1,416,1080
trike51,hub1,327,1080
trike52,hub1,393,1080
trike53,hub1,540,676
trike54,hub1,504,1080
trike55,hub1,332,1080
trike56,hub1,499,1080
trike57,hub1,337,1080
trike58,hub1,555,1074
trike59,hub1,380,1080
trike60,hub0,377,1080
trike61,hub0,463,1080
trike62,hub0,421,1080
trike63,hub0,381,1080
trike64,hub0,409,1080
