trike_id,hub_id,start_tick,end_tick
trike0,hub8,398,1023
trike1,hub8,273,1080
trike2,hub8,511,1080
trike3,hub8,446,970
trike4,hub8,283,1080
trike5,hub8,610,957
trike6,hub8,366,1080
trike7,hub8,382,1080
trike8,hub8,620,1080
trike9,hub8,464,1080
trike10,hub7,458,1076
trike11,hub7,348,1042
trike12,hub7,475,1080
trike13,hub7,362,1080
trike14,hub7,449,1080
trike15,hub6,398,1080
trike16,hub6,366,967
trike17,hub6,342,1022
trike18,hub6,544,1080
trike19,hub6,453,1080
trike20,hub5,422,1080
trike21,hub5,359,1080
trike22,hub5,564,976
trike23,hub5,434,1080
trike24,hub5,427,1080
trike25,hub5,300,1080
trike26,hub5,514,1080
trike27,hub5,290,1080
trike28,hub5,356,1080
trike29,hub5,505,1080
trike30,hub4,548,1080
trike31,hub4,384,1080
trike32,hub4,390,1080
trike33,hub4,322,1080
trike34,hub4,485,1080
trike35,hub3,398,1080
trike36,hub3,288,1076
trike37,hub3,455,1080
trike38,hub3,400,1080
trike39,hub3,451,1080
trike40,hub2,442,1080
trike41,hub2,277,1080
trike42,hub2,371,1080
trike43,hub2,331,1080
trike44,hub2,436,1080
trike45,hub1,473,1080
trike46,hub1,487,1080
trike47,hub1,385,1080
trike48,hub1,257,889
trike49,hub1,474,1080
trike50,hub1,332,1080
trike51,hub1,382,1080
trike52,hub1,344,1080
trike53,hub1,396,1080
trike54,hub1,448,1080
trike55,hub1,451,1080
trike56,hub1,279,1080
trike57,hub1,468,1080
trike58,hub1,420,1080
trike59,hub1,406,1080
trike60,hub0,393,1080
trike61,hub0,493,1080
trike62,hub0,314,1080
trike63,hub0,264,1080
trike64,hub0,661,1080
