trike_id,hub_id,start_tick,end_tick
trike0,hub8,319,967
trike1,hub8,407,972
trike2,hub8,428,806
trike3,hub8,362,1008
trike4,hub8,338,1080
trike5,hub8,303,1080
trike6,hub8,499,1080
trike7,hub8,528,1080
trike8,hub8,340,1080
trike9,hub8,361,1080
trike10,hub7,346,1080
trike11,hub7,391,1080
trike12,hub7,504,891
trike13,hub7,499,1080
trike14,hub7,462,1049
trike15,hub6,393,1080
trike16,hub6,433,887
trike17,hub6,272,855
trike18,hub6,306,946
trike19,hub6,285,1080
trike20,hub5,358,1080
trike21,hub5,366,1080
trike22,hub5,466,1049
trike23,hub5,355,1029
trike24,hub5,410,1080
trike25,hub5,445,1080
trike26,hub5,599,1080
trike27,hub5,343,1080
trike28,hub5,477,1080
trike29,hub5,335,1080
trike30,hub4,605,1080
trike31,hub4,341,1080
trike32,hub4,332,1080
trike33,hub4,413,1055
trike34,hub4,506,1080
trike35,hub3,410,1006
trike36,hub3,285,1079
trike37,hub3,480,1080
trike38,hub3,492,1080
trike39,hub3,228,1080
trike40,hub2,447,1080
trike41,hub2,450,1080
trike42,hub2,367,1080
trike43,hub2,264,1080
trike44,hub2,458,1080
trike45,hub1,316,1080
trike46,hub1,344,1080
trike47,hub1,491,1080
trike48,hub1,286,1080
trike49,hub1,412,1080
trike50,hub1,388,1080
trike51,hub1,406,1080
trike52,hub1,344,1054
trike53,hub1,656,1080
trike54,hub1,357,1080
trike55,hub1,452,1080
trike56,hub1,295,1038
trike57,hub1,399,1080
trike58,hub1,555,1080
trike59,hub1,426,1080
trike60,hub0,383,1080
trike61,hub0,420,1080
trike62,hub0,398,1080
trike63,hub0,515,1080
trike64,hub0,295,1080
