trike_id,expense_type,amount,tick
trike0,end_gas,5.30325043975602,1080
trike1,end_gas,4.140872915075695,1080
trike2,end_gas,3.345276172122373,1080
trike3,end_gas,5.9369242922154255,1080
trike4,end_gas,5.133780160048886,1080
trike5,end_gas,6.117295435742997,1080
trike6,end_gas,4.206446325211301,1080
trike7,end_gas,4.14292855788545,1080
trike8,end_gas,4.204618174774632,1080
trike9,end_gas,3.9075271291803673,1080
trike10,end_gas,5.306156866055144,1080
trike11,end_gas,2.0380109023881396,1080
trike12,end_gas,2.6548883304641593,1080
trike13,end_gas,4.696968380383603,1080
trike14,end_gas,3.605590346072026,1080
trike15,end_gas,3.918807563776725,1080
trike16,end_gas,1.4481651429701181,1080
trike17,end_gas,3.5911817947430236,1080
trike18,end_gas,3.526148115960928,1080
trike19,end_gas,3.181121460152668,1080
trike20,end_gas,3.8871872609508165,1080
trike21,end_gas,3.7780559804017186,1080
trike22,end_gas,4.591169894412511,1080
trike23,end_gas,2.5942093487536546,1080
trike24,end_gas,4.397473091220566,1080
trike25,end_gas,4.226400440360131,1080
trike26,end_gas,2.0378230598264926,1080
trike27,end_gas,3.7633592052113722,1080
trike28,end_gas,4.288976475800758,1080
trike29,end_gas,2.7410800651536014,1080
trike30,end_gas,1.8598132123076008,1080
trike31,end_gas,2.604124596256269,1080
trike32,end_gas,3.6552860240726113,1080
trike33,end_gas,3.753675656963451,1080
trike34,end_gas,3.428818064908748,1080
trike35,end_gas,4.450065895067631,1080
trike36,end_gas,5.831783038710389,1080
trike37,end_gas,3.856673819013801,1080
trike38,end_gas,3.8198575675165767,1080
trike39,end_gas,5.83547962650939,1080
trike40,end_gas,2.06429550844102,1080
trike41,end_gas,3.2688054744427943,1080
trike42,end_gas,4.00344239281024,1080
trike43,end_gas,6.280025827598467,1080
trike44,end_gas,4.42011036530688,1080
trike45,end_gas,4.447067461114734,1080
trike46,end_gas,3.7158371724310872,1080
trike47,end_gas,3.9804134671979257,1080
trike48,end_gas,5.6865457058607145,1080
trike49,end_gas,4.706623938698112,1080
trike50,end_gas,3.162141771764803,1080
trike51,end_gas,5.255115264655685,1080
trike52,end_gas,5.373666235315871,1080
trike53,end_gas,2.1961399591051665,1080
trike54,end_gas,5.362096685389463,1080
trike55,end_gas,3.428766846303308,1080
trike56,end_gas,5.440815205761995,1080
trike57,end_gas,4.708753010832648,1080
trike58,end_gas,2.704371876613309,1080
trike59,end_gas,4.598790184277478,1080
trike60,end_gas,5.029069887058681,1080
trike61,end_gas,1.7860266134175915,1080
trike62,end_gas,3.2863493906131747,1080
trike63,end_gas,2.6253829068124506,1080
trike64,end_gas,2.211270440221179,1080
trike0,daily_expense,[508.68015908],1080
trike1,daily_expense,[411.81085332],1080
trike2,daily_expense,[1311.34825274],1080
trike3,daily_expense,[595.04400065],1080
trike4,daily_expense,[392.80417143],1080
trike5,daily_expense,[243.80613678],1080
trike6,daily_expense,[135.51032633],1080
trike7,daily_expense,[328.7824166],1080
trike8,daily_expense,[1086.66635361],1080
trike9,daily_expense,[1461.56119153],1080
trike10,daily_expense,[436.89402483],1080
trike11,daily_expense,[431.27705827],1080
trike12,daily_expense,[185.45264618],1080
trike13,daily_expense,[110.04192579],1080
trike14,daily_expense,[754.92278797],1080
trike15,daily_expense,[360.29918405],1080
trike16,daily_expense,[392.24870696],1080
trike17,daily_expense,[148.53943985],1080
trike18,daily_expense,[236.30648572],1080
trike19,daily_expense,[522.54380627],1080
trike20,daily_expense,[306.77602995],1080
trike21,daily_expense,[139.38514266],1080
trike22,daily_expense,[441.37238894],1080
trike23,daily_expense,[364.1681551],1080
trike24,daily_expense,[925.85204103],1080
trike25,daily_expense,[200.50309611],1080
trike26,daily_expense,[440.08184542],1080
trike27,daily_expense,[284.74597906],1080
trike28,daily_expense,[391.66930061],1080
trike29,daily_expense,[317.16519075],1080
trike30,daily_expense,[291.64186775],1080
trike31,daily_expense,[286.51567587],1080
trike32,daily_expense,[299.03659438],1080
trike33,daily_expense,[172.19326275],1080
trike34,daily_expense,[264.1330348],1080
trike35,daily_expense,[82.76072492],1080
trike36,daily_expense,[228.79786779],1080
trike37,daily_expense,[1093.88579072],1080
trike38,daily_expense,[293.91023871],1080
trike39,daily_expense,[329.56872312],1080
trike40,daily_expense,[115.21002481],1080
trike41,daily_expense,[325.18670073],1080
trike42,daily_expense,[1016.79440967],1080
trike43,daily_expense,[294.01833746],1080
trike44,daily_expense,[472.96222295],1080
trike45,daily_expense,[559.13724449],1080
trike46,daily_expense,[711.8664384],1080
trike47,daily_expense,[327.20855393],1080
trike48,daily_expense,[257.43833552],1080
trike49,daily_expense,[458.25747911],1080
trike50,daily_expense,[334.96959904],1080
trike51,daily_expense,[392.76475761],1080
trike52,daily_expense,[1311.98344803],1080
trike53,daily_expense,[490.69540637],1080
trike54,daily_expense,[237.0522145],1080
trike55,daily_expense,[478.07095201],1080
trike56,daily_expense,[1177.10427283],1080
trike57,daily_expense,[348.30654428],1080
trike58,daily_expense,[918.68272991],1080
trike59,daily_expense,[251.71175498],1080
trike60,daily_expense,[510.66331011],1080
trike61,daily_expense,[273.48522022],1080
trike62,daily_expense,[566.85704626],1080
trike63,daily_expense,[404.18551034],1080
trike64,daily_expense,[308.6530206],1080
