trike_id,hub_id,start_tick,end_tick
trike0,hub8,394,1080
trike1,hub8,471,1043
trike2,hub8,499,1080
trike3,hub8,431,900
trike4,hub8,347,634
trike5,hub8,512,1080
trike6,hub8,433,1040
trike7,hub8,434,1080
trike8,hub8,393,972
trike9,hub8,450,1080
trike10,hub7,401,1080
trike11,hub7,485,991
trike12,hub7,424,1080
trike13,hub7,594,1080
trike14,hub7,389,1080
trike15,hub6,431,1080
trike16,hub6,334,1080
trike17,hub6,457,1080
trike18,hub6,353,1080
trike19,hub6,346,1080
trike20,hub5,625,959
trike21,hub5,376,1080
trike22,hub5,403,1080
trike23,hub5,401,1080
trike24,hub5,422,1080
trike25,hub5,400,1080
trike26,hub5,357,1080
trike27,hub5,460,1080
trike28,hub5,319,1080
trike29,hub5,455,1080
trike30,hub4,353,1080
trike31,hub4,416,1080
trike32,hub4,403,1080
trike33,hub4,480,818
trike34,hub4,352,1080
trike35,hub3,399,1080
trike36,hub3,286,1080
trike37,hub3,363,1080
trike38,hub3,393,1080
trike39,hub3,375,1080
trike40,hub2,514,1080
trike41,hub2,308,1080
trike42,hub2,526,1022
trike43,hub2,366,1080
trike44,hub2,378,1080
trike45,hub1,415,1080
trike46,hub1,606,892
trike47,hub1,267,1080
trike48,hub1,458,1064
trike49,hub1,378,1080
trike50,hub1,470,990
trike51,hub1,409,1080
trike52,hub1,491,1080
trike53,hub1,339,1080
trike54,hub1,313,1080
trike55,hub1,344,1080
trike56,hub1,446,1080
trike57,hub1,240,1080
trike58,hub1,444,1080
trike59,hub1,490,970
trike60,hub0,428,1080
trike61,hub0,368,1080
trike62,hub0,404,1080
trike63,hub0,411,1080
trike64,hub0,523,1080
