trike_id,hub_id,start_tick,end_tick
trike0,hub8,424,1080
trike1,hub8,355,1080
trike2,hub8,343,1080
trike3,hub8,574,1080
trike4,hub8,424,724
trike5,hub8,538,1080
trike6,hub8,489,785
trike7,hub8,426,1017
trike8,hub8,391,1003
trike9,hub8,308,932
trike10,hub7,401,1080
trike11,hub7,447,1080
trike12,hub7,444,1080
trike13,hub7,390,1080
trike14,hub7,332,1080
trike15,hub6,433,1080
trike16,hub6,335,1010
trike17,hub6,428,1080
trike18,hub6,624,992
trike19,hub6,402,1080
trike20,hub5,328,740
trike21,hub5,420,1080
trike22,hub5,361,1080
trike23,hub5,292,1080
trike24,hub5,461,1080
trike25,hub5,291,1080
trike26,hub5,475,1080
trike27,hub5,404,1080
trike28,hub5,369,1068
trike29,hub5,439,1056
trike30,hub4,449,1080
trike31,hub4,336,1080
trike32,hub4,342,1080
trike33,hub4,478,1080
trike34,hub4,317,1080
trike35,hub3,362,1080
trike36,hub3,468,1080
trike37,hub3,421,1045
trike38,hub3,304,1080
trike39,hub3,494,1056
trike40,hub2,365,1080
trike41,hub2,390,962
trike42,hub2,368,1080
trike43,hub2,398,1080
trike44,hub2,431,1080
trike45,hub1,346,1080
trike46,hub1,389,1080
trike47,hub1,434,1080
trike48,hub1,360,1080
trike49,hub1,328,1028
trike50,hub1,312,1080
trike51,hub1,408,1080
trike52,hub1,389,1030
trike53,hub1,320,1080
trike54,hub1,423,1080
trike55,hub1,262,1080
trike56,hub1,459,1080
trike57,hub1,477,1080
trike58,hub1,351,953
trike59,hub1,453,1080
trike60,hub0,365,1080
trike61,hub0,316,1080
trike62,hub0,347,996
trike63,hub0,514,1080
trike64,hub0,533,1080
