trike_id,expense_type,amount,tick
trike0,end_gas,3.944557053541902,1080
trike1,end_gas,4.395599599090055,1080
trike2,end_gas,4.83394640360383,1080
trike3,end_gas,5.616907064456646,1080
trike4,end_gas,5.998800135664501,1080
trike5,end_gas,3.286443235363698,1080
trike6,end_gas,4.859462034857399,1080
trike7,end_gas,3.116474849133197,1080
trike8,end_gas,3.263037289147929,1080
trike9,end_gas,3.706824708221699,1080
trike10,end_gas,3.086760311191503,1080
trike11,end_gas,3.795757230362106,1080
trike12,end_gas,3.795291474046864,1080
trike13,end_gas,5.560228544546036,1080
trike14,end_gas,4.586656777687498,1080
trike15,end_gas,2.891009974520921,1080
trike16,end_gas,2.468408885968651,1080
trike17,end_gas,3.340904038337963,1080
trike18,end_gas,1.9567489389254022,1080
trike19,end_gas,3.590094706620398,1080
trike20,end_gas,2.997118729085171,1080
trike21,end_gas,2.8434685815246716,1080
trike22,end_gas,3.1943773262800685,1080
trike23,end_gas,3.7826560366266064,1080
trike24,end_gas,4.288370171819192,1080
trike25,end_gas,2.12621091632504,1080
trike26,end_gas,5.312679455985695,1080
trike27,end_gas,4.935223784346511,1080
trike28,end_gas,5.007877823824765,1080
trike29,end_gas,4.5434592404420195,1080
trike30,end_gas,4.2764822307550086,1080
trike31,end_gas,4.379457112355732,1080
trike32,end_gas,3.7624653033342152,1080
trike33,end_gas,3.246816159948216,1080
trike34,end_gas,3.1582102377354215,1080
trike35,end_gas,4.027468846342973,1080
trike36,end_gas,4.688800595777973,1080
trike37,end_gas,2.859882090034974,1080
trike38,end_gas,4.715584573232218,1080
trike39,end_gas,4.888965544063505,1080
trike40,end_gas,4.5113308808164705,1080
trike41,end_gas,3.4439956692719,1080
trike42,end_gas,2.7616386388545107,1080
trike43,end_gas,3.847638167831433,1080
trike44,end_gas,6.019257317239096,1080
trike45,end_gas,3.7227286474085903,1080
trike46,end_gas,3.307520445324717,1080
trike47,end_gas,2.526937959706137,1080
trike48,end_gas,3.090738876326424,1080
trike49,end_gas,4.063582697450222,1080
trike50,end_gas,3.671426787184792,1080
trike51,end_gas,4.403369778694671,1080
trike52,end_gas,2.6006196639272363,1080
trike53,end_gas,4.7158278467680965,1080
trike54,end_gas,4.5381628988088165,1080
trike55,end_gas,4.80737277256814,1080
trike56,end_gas,2.7131038792570323,1080
trike57,end_gas,2.073728629325037,1080
trike58,end_gas,2.4175290337966264,1080
trike59,end_gas,2.576573704489776,1080
trike60,end_gas,3.0040682080146945,1080
trike61,end_gas,2.534759428196523,1080
trike62,end_gas,5.531672749622218,1080
trike63,end_gas,4.913708560013455,1080
trike64,end_gas,4.640802511834711,1080
trike0,daily_expense,[568.69970193],1080
trike1,daily_expense,[645.30885788],1080
trike2,daily_expense,[164.71995856],1080
trike3,daily_expense,[276.4001463],1080
trike4,daily_expense,[228.33271254],1080
trike5,daily_expense,[543.43724205],1080
trike6,daily_expense,[791.82794552],1080
trike7,daily_expense,[690.88582323],1080
trike8,daily_expense,[295.36220863],1080
trike9,daily_expense,[328.58346842],1080
trike10,daily_expense,[233.01153881],1080
trike11,daily_expense,[631.58084725],1080
trike12,daily_expense,[406.27208507],1080
trike13,daily_expense,[276.81122942],1080
trike14,daily_expense,[281.3454138],1080
trike15,daily_expense,[231.55801852],1080
trike16,daily_expense,[301.35691084],1080
trike17,daily_expense,[1005.49302714],1080
trike18,daily_expense,[1045.86884845],1080
trike19,daily_expense,[207.69636658],1080
trike20,daily_expense,[151.27682132],1080
trike21,daily_expense,[253.34729291],1080
trike22,daily_expense,[418.54988629],1080
trike23,daily_expense,[239.74933516],1080
trike24,daily_expense,[159.35145819],1080
trike25,daily_expense,[224.35268384],1080
trike26,daily_expense,[666.69000254],1080
trike27,daily_expense,[604.41797874],1080
trike28,daily_expense,[230.71259455],1080
trike29,daily_expense,[230.03831503],1080
trike30,daily_expense,[534.88437686],1080
trike31,daily_expense,[216.01176245],1080
trike32,daily_expense,[732.98535356],1080
trike33,daily_expense,[172.85379437],1080
trike34,daily_expense,[188.62170699],1080
trike35,daily_expense,[852.34800729],1080
trike36,daily_expense,[543.5796266],1080
trike37,daily_expense,[381.24780152],1080
trike38,daily_expense,[576.12681405],1080
trike39,daily_expense,[291.19852681],1080
trike40,daily_expense,[319.67198282],1080
trike41,daily_expense,[329.99008101],1080
trike42,daily_expense,[398.59512282],1080
trike43,daily_expense,[389.28429779],1080
trike44,daily_expense,[514.42469629],1080
trike45,daily_expense,[449.29556937],1080
trike46,daily_expense,[487.96831834],1080
trike47,daily_expense,[144.78532975],1080
trike48,daily_expense,[235.11312073],1080
trike49,daily_expense,[1017.1877077],1080
trike50,daily_expense,[287.154139],1080
trike51,daily_expense,[666.84360455],1080
trike52,daily_expense,[893.2524153],1080
trike53,daily_expense,[578.89116372],1080
trike54,daily_expense,[367.96794634],1080
trike55,daily_expense,[329.07048723],1080
trike56,daily_expense,[1546.73849535],1080
trike57,daily_expense,[440.7512],1080
trike58,daily_expense,[592.75771132],1080
trike59,daily_expense,[247.61992807],1080
trike60,daily_expense,[273.3235762],1080
trike61,daily_expense,[487.56771743],1080
trike62,daily_expense,[1152.23506093],1080
trike63,daily_expense,[649.14588415],1080
trike64,daily_expense,[305.59975842],1080
