trike_id,hub_id,start_tick,end_tick
trike0,hub8,455,1080
trike1,hub8,380,1080
trike2,hub8,405,983
trike3,hub8,403,1080
trike4,hub8,449,1080
trike5,hub8,239,1080
trike6,hub8,554,1010
trike7,hub8,559,1080
trike8,hub8,336,1080
trike9,hub8,401,1080
trike10,hub7,342,1080
trike11,hub7,299,1080
trike12,hub7,348,1026
trike13,hub7,619,1080
trike14,hub7,383,1080
trike15,hub6,323,1080
trike16,hub6,289,1080
trike17,hub6,395,1080
trike18,hub6,295,1080
trike19,hub6,400,1080
trike20,hub5,331,1080
trike21,hub5,488,1080
trike22,hub5,251,1080
trike23,hub5,433,1080
trike24,hub5,410,1080
trike25,hub5,396,1080
trike26,hub5,394,1080
trike27,hub5,498,1080
trike28,hub5,347,1080
trike29,hub5,385,1072
trike30,hub4,320,1080
trike31,hub4,456,1080
trike32,hub4,345,1080
trike33,hub4,389,1080
trike34,hub4,428,919
trike35,hub3,358,1080
trike36,hub3,397,1080
trike37,hub3,503,1080
trike38,hub3,315,1080
trike39,hub3,333,1080
trike40,hub2,399,1080
trike41,hub2,434,855
trike42,hub2,373,1056
trike43,hub2,408,1080
trike44,hub2,360,1080
trike45,hub1,442,1080
trike46,hub1,272,1080
trike47,hub1,450,1080
trike48,hub1,380,989
trike49,hub1,419,1080
trike50,hub1,574,1080
trike51,hub1,432,1080
trike52,hub1,386,1080
trike53,hub1,319,1080
trike54,hub1,590,957
trike55,hub1,405,1080
trike56,hub1,357,1080
trike57,hub1,465,1080
trike58,hub1,276,1080
trike59,hub1,379,1080
trike60,hub0,360,1080
trike61,hub0,387,1080
trike62,hub0,479,1080
trike63,hub0,389,1080
trike64,hub0,320,1080
