trike_id,expense_type,amount,tick
trike0,end_gas,3.2615177859879325,1080
trike1,end_gas,7.645850187673332,1080
trike2,end_gas,3.2234365597402066,1080
trike3,end_gas,4.18252647644617,1080
trike4,end_gas,3.5967016409991124,1080
trike5,end_gas,3.348781574823341,1080
trike6,end_gas,4.4522247220738285,1080
trike7,end_gas,5.821131429704378,1080
trike8,end_gas,3.2568198383005798,1080
trike9,end_gas,4.658513249284133,1080
trike10,end_gas,2.0386251783042604,1080
trike11,end_gas,5.323429806616157,1080
trike12,end_gas,2.4512034155106797,1080
trike13,end_gas,2.664123928563148,1080
trike14,end_gas,3.4984012064955823,1080
trike15,end_gas,0.8376322686341027,1080
trike16,end_gas,1.3998149099919435,1080
trike17,end_gas,2.7907681197593663,1080
trike18,end_gas,1.0773356714820734,1080
trike19,end_gas,2.3158146228487637,1080
trike20,end_gas,4.478344776720451,1080
trike21,end_gas,3.2084441263692907,1080
trike22,end_gas,2.7376250809762754,1080
trike23,end_gas,2.664745321800678,1080
trike24,end_gas,3.730976995886104,1080
trike25,end_gas,2.3509892249405473,1080
trike26,end_gas,4.119067349951741,1080
trike27,end_gas,2.592444152345314,1080
trike28,end_gas,4.526758482637399,1080
trike29,end_gas,2.564997984088426,1080
trike30,end_gas,4.119705599904429,1080
trike31,end_gas,3.9817722110814757,1080
trike32,end_gas,4.979152129777973,1080
trike33,end_gas,3.280881942832075,1080
trike34,end_gas,4.851650142601038,1080
trike35,end_gas,2.166671497438523,1080
trike36,end_gas,2.3298998216843443,1080
trike37,end_gas,3.616813873739254,1080
trike38,end_gas,3.4018328412207643,1080
trike39,end_gas,3.0796113395298343,1080
trike40,end_gas,3.9307812638030475,1080
trike41,end_gas,3.8593804773754985,1080
trike42,end_gas,5.16071149488539,1080
trike43,end_gas,2.513501293971256,1080
trike44,end_gas,3.656753708439585,1080
trike45,end_gas,5.129654026092865,1080
trike46,end_gas,1.3545065970939232,1080
trike47,end_gas,1.6849174562946658,1080
trike48,end_gas,0.952430171366955,1080
trike49,end_gas,4.222906643896681,1080
trike50,end_gas,6.5176428535785025,1080
trike51,end_gas,3.7499458669710397,1080
trike52,end_gas,2.5900402355808065,1080
trike53,end_gas,5.861602371870202,1080
trike54,end_gas,4.989644443782095,1080
trike55,end_gas,4.21151601978497,1080
trike56,end_gas,3.2998954716071256,1080
trike57,end_gas,2.6794885917506126,1080
trike58,end_gas,4.179166938040461,1080
trike59,end_gas,3.1979722398539625,1080
trike60,end_gas,3.4220324924808514,1080
trike61,end_gas,5.192576365654819,1080
trike62,end_gas,4.649456616827783,1080
trike63,end_gas,3.2494740272183416,1080
trike64,end_gas,3.6322279652251077,1080
trike0,daily_expense,[1136.22507421],1080
trike1,daily_expense,[310.63716124],1080
trike2,daily_expense,[672.00750854],1080
trike3,daily_expense,[519.98231963],1080
trike4,daily_expense,[437.73949984],1080
trike5,daily_expense,[205.3385451],1080
trike6,daily_expense,[370.10054632],1080
trike7,daily_expense,[709.06478537],1080
trike8,daily_expense,[289.74592781],1080
trike9,daily_expense,[171.24324085],1080
trike10,daily_expense,[401.67563685],1080
trike11,daily_expense,[383.21417695],1080
trike12,daily_expense,[469.71039325],1080
trike13,daily_expense,[956.34844527],1080
trike14,daily_expense,[208.80309404],1080
trike15,daily_expense,[1167.77823965],1080
trike16,daily_expense,[189.26664718],1080
trike17,daily_expense,[394.247945],1080
trike18,daily_expense,[464.16814528],1080
trike19,daily_expense,[370.00875811],1080
trike20,daily_expense,[592.47960389],1080
trike21,daily_expense,[144.15686295],1080
trike22,daily_expense,[134.79370531],1080
trike23,daily_expense,[752.34981541],1080
trike24,daily_expense,[495.25847199],1080
trike25,daily_expense,[624.19392935],1080
trike26,daily_expense,[199.47593934],1080
trike27,daily_expense,[269.04431996],1080
trike28,daily_expense,[1324.75976638],1080
trike29,daily_expense,[179.46107048],1080
trike30,daily_expense,[148.26621407],1080
trike31,daily_expense,[646.66619799],1080
trike32,daily_expense,[423.21776963],1080
trike33,daily_expense,[233.81062002],1080
trike34,daily_expense,[37.34476952],1080
trike35,daily_expense,[785.05351446],1080
trike36,daily_expense,[1041.65817738],1080
trike37,daily_expense,[101.538264],1080
trike38,daily_expense,[728.5922392],1080
trike39,daily_expense,[629.49374831],1080
trike40,daily_expense,[427.94944574],1080
trike41,daily_expense,[831.01223954],1080
trike42,daily_expense,[426.74734843],1080
trike43,daily_expense,[447.05577674],1080
trike44,daily_expense,[219.11283479],1080
trike45,daily_expense,[158.50081815],1080
trike46,daily_expense,[568.54719474],1080
trike47,daily_expense,[320.0793795],1080
trike48,daily_expense,[235.87748879],1080
trike49,daily_expense,[194.06986438],1080
trike50,daily_expense,[582.45648384],1080
trike51,daily_expense,[212.41748095],1080
trike52,daily_expense,[114.22448299],1080
trike53,daily_expense,[450.36730196],1080
trike54,daily_expense,[518.08836625],1080
trike55,daily_expense,[439.21315788],1080
trike56,daily_expense,[231.63147646],1080
trike57,daily_expense,[604.52838803],1080
trike58,daily_expense,[1564.64044845],1080
trike59,daily_expense,[155.56150098],1080
trike60,daily_expense,[174.48508772],1080
trike61,daily_expense,[268.71264659],1080
trike62,daily_expense,[799.60918545],1080
trike63,daily_expense,[295.08409124],1080
trike64,daily_expense,[290.26917405],1080
