trike_id,hub_id,start_tick,end_tick
trike0,hub8,396,1080
trike1,hub8,374,1080
trike2,hub8,483,1080
trike3,hub8,500,1080
trike4,hub8,465,903
trike5,hub8,397,1080
trike6,hub8,388,1080
trike7,hub8,346,1080
trike8,hub8,406,1080
trike9,hub8,372,979
trike10,hub7,483,1080
trike11,hub7,424,1080
trike12,hub7,443,1080
trike13,hub7,348,1080
trike14,hub7,384,577
trike15,hub6,394,987
trike16,hub6,391,1080
trike17,hub6,266,973
trike18,hub6,350,1080
trike19,hub6,393,976
trike20,hub5,494,1080
trike21,hub5,294,1060
trike22,hub5,480,1080
trike23,hub5,347,1080
trike24,hub5,495,1080
trike25,hub5,536,1080
trike26,hub5,319,1080
trike27,hub5,284,1080
trike28,hub5,453,1080
trike29,hub5,303,1080
trike30,hub4,446,1080
trike31,hub4,543,1080
trike32,hub4,259,1080
trike33,hub4,353,1080
trike34,hub4,355,1080
trike35,hub3,334,1080
trike36,hub3,342,1080
trike37,hub3,405,1080
trike38,hub3,344,1080
trike39,hub3,380,1080
trike40,hub2,299,1080
trike41,hub2,432,933
trike42,hub2,342,1080
trike43,hub2,461,1080
trike44,hub2,441,1080
trike45,hub1,437,1047
trike46,hub1,389,1080
trike47,hub1,423,1080
trike48,hub1,359,1080
trike49,hub1,420,1080
trike50,hub1,343,1080
trike51,hub1,458,1080
trike52,hub1,323,1080
trike53,hub1,453,1080
trike54,hub1,294,1080
trike55,hub1,426,1080
trike56,hub1,269,1080
trike57,hub1,351,1022
trike58,hub1,450,1080
trike59,hub1,519,1080
trike60,hub0,274,1080
trike61,hub0,388,953
trike62,hub0,409,1080
trike63,hub0,355,1031
trike64,hub0,546,1028
