trike_id,hub_id,start_tick,end_tick
trike0,hub8,445,1008
trike1,hub8,389,-325
trike2,hub8,280,1080
trike3,hub8,632,1080
trike4,hub8,489,1080
trike5,hub8,514,847
trike6,hub8,448,1080
trike7,hub8,420,1080
trike8,hub8,335,1080
trike9,hub8,295,1080
trike10,hub7,316,1069
trike11,hub7,474,922
trike12,hub7,270,1080
trike13,hub7,339,1080
trike14,hub7,396,1080
trike15,hub6,386,1080
trike16,hub6,284,818
trike17,hub6,530,1007
trike18,hub6,329,1080
trike19,hub6,318,1037
trike20,hub5,437,1080
trike21,hub5,424,1080
trike22,hub5,449,1080
trike23,hub5,471,1080
trike24,hub5,391,1080
trike25,hub5,473,997
trike26,hub5,502,1080
trike27,hub5,363,1080
trike28,hub5,295,1080
trike29,hub5,290,1080
trike30,hub4,377,1028
trike31,hub4,415,897
trike32,hub4,316,1080
trike33,hub4,486,1080
trike34,hub4,311,1080
trike35,hub3,466,1080
trike36,hub3,266,1080
trike37,hub3,410,1080
trike38,hub3,496,1080
trike39,hub3,342,1080
trike40,hub2,331,916
trike41,hub2,402,1080
trike42,hub2,312,1080
trike43,hub2,404,1080
trike44,hub2,415,1067
trike45,hub1,355,1080
trike46,hub1,351,1030
trike47,hub1,354,1080
trike48,hub1,341,1080
trike49,hub1,280,1080
trike50,hub1,567,1080
trike51,hub1,383,1080
trike52,hub1,404,1021
trike53,hub1,287,1080
trike54,hub1,505,1080
trike55,hub1,396,1080
trike56,hub1,474,1080
trike57,hub1,396,1080
trike58,hub1,478,1080
trike59,hub1,450,650
trike60,hub0,311,1080
trike61,hub0,356,1080
trike62,hub0,317,1080
trike63,hub0,505,1080
trike64,hub0,288,1080
