run_id,trike_id,origin_edge,dest_edge,distance,price,tick
run002,trike43,E74,-E3,900.94,50,28
run002,trike20,E41,E0,1163.06,70,95
run002,trike23,E41,-E3,470.8,50,256
run002,trike10,E162,-E3,1375.6000000000001,70,166
run002,trike57,E154,E28,1486.3799999999999,70,38
run002,trike23,E41,-E3,470.8,50,558
run002,trike2,E23,-E3,1674.81,100,388
run002,trike45,E154,E3,883.1200000000001,50,522
run002,trike51,E154,E0,1532.48,100,560
run002,trike39,E97,-E3,1114.34,70,791
run002,trike56,E154,-E3,924.1600000000002,50,838
run002,trike48,E154,E28,1486.3799999999999,70,783
run002,trike57,E154,E28,1486.3799999999999,70,732
run002,trike6,E23,E28,464.25999999999993,50,1056
run002,trike43,E74,-E3,900.94,50,1501
run002,trike23,E41,E28,2016.2099999999998,120,1178
run002,trike8,E23,E28,464.25999999999993,50,1622
run002,trike39,E97,E28,2061.25,120,1783
run002,trike61,E196,E0,1127.39,70,1637
