trike_id,hub_id,start_tick,end_tick
trike0,hub8,254,1080
trike1,hub8,344,1080
trike2,hub8,440,1080
trike3,hub8,422,1080
trike4,hub8,233,1080
trike5,hub8,310,1080
trike6,hub8,379,1080
trike7,hub8,405,672
trike8,hub8,333,859
trike9,hub8,412,1080
trike10,hub7,379,1074
trike11,hub7,542,1080
trike12,hub7,498,927
trike13,hub7,314,1080
trike14,hub7,397,1080
trike15,hub6,472,1080
trike16,hub6,359,1080
trike17,hub6,326,1080
trike18,hub6,247,1080
trike19,hub6,497,1080
trike20,hub5,539,1080
trike21,hub5,330,1080
trike22,hub5,364,1080
trike23,hub5,275,1080
trike24,hub5,327,1080
trike25,hub5,388,1080
trike26,hub5,385,1080
trike27,hub5,367,1080
trike28,hub5,326,1080
trike29,hub5,344,1080
trike30,hub4,478,1080
trike31,hub4,401,1080
trike32,hub4,429,1080
trike33,hub4,348,1080
trike34,hub4,291,1080
trike35,hub3,285,1080
trike36,hub3,458,1080
trike37,hub3,522,1080
trike38,hub3,381,1034
trike39,hub3,328,1080
trike40,hub2,478,1080
trike41,hub2,479,1080
trike42,hub2,406,1080
trike43,hub2,363,1022
trike44,hub2,341,960
trike45,hub1,547,1080
trike46,hub1,391,1080
trike47,hub1,408,1080
trike48,hub1,373,1080
trike49,hub1,300,1080
trike50,hub1,402,961
trike51,hub1,493,950
trike52,hub1,454,1080
trike53,hub1,440,743
trike54,hub1,355,1080
trike55,hub1,252,1080
trike56,hub1,259,1080
trike57,hub1,330,1080
trike58,hub1,452,1080
trike59,hub1,243,1027
trike60,hub0,279,1080
trike61,hub0,343,919
trike62,hub0,479,1080
trike63,hub0,386,1080
trike64,hub0,352,1080
