trike_id,hub_id,start_tick,end_tick
trike0,hub8,388,1080
trike1,hub8,281,789
trike2,hub8,248,903
trike3,hub8,474,1080
trike4,hub8,440,1080
trike5,hub8,377,1080
trike6,hub8,592,1080
trike7,hub8,427,941
trike8,hub8,347,1080
trike9,hub8,301,944
trike10,hub7,371,1080
trike11,hub7,373,926
trike12,hub7,431,1063
trike13,hub7,376,1080
trike14,hub7,279,1080
trike15,hub6,415,1080
trike16,hub6,444,1080
trike17,hub6,343,1080
trike18,hub6,304,1031
trike19,hub6,296,1080
trike20,hub5,454,841
trike21,hub5,303,797
trike22,hub5,420,1080
trike23,hub5,388,1080
trike24,hub5,478,1080
trike25,hub5,369,1080
trike26,hub5,444,1080
trike27,hub5,301,1080
trike28,hub5,270,1080
trike29,hub5,582,1080
trike30,hub4,454,1080
trike31,hub4,480,977
trike32,hub4,444,1080
trike33,hub4,276,1080
trike34,hub4,286,1080
trike35,hub3,513,1080
trike36,hub3,486,1080
trike37,hub3,315,1080
trike38,hub3,477,1080
trike39,hub3,432,1080
trike40,hub2,565,904
trike41,hub2,335,1080
trike42,hub2,490,795
trike43,hub2,381,1080
trike44,hub2,414,1080
trike45,hub1,343,1080
trike46,hub1,374,1080
trike47,hub1,425,974
trike48,hub1,292,901
trike49,hub1,311,1038
trike50,hub1,344,1080
trike51,hub1,479,1080
trike52,hub1,475,1080
trike53,hub1,294,1080
trike54,hub1,457,1074
trike55,hub1,424,807
trike56,hub1,425,1080
trike57,hub1,370,1080
trike58,hub1,338,1008
trike59,hub1,254,905
trike60,hub0,416,1079
trike61,hub0,477,676
trike62,hub0,428,1080
trike63,hub0,411,1080
trike64,hub0,335,1080
