trike_id,hub_id,start_tick,end_tick
trike0,hub8,348,988
trike1,hub8,332,1080
trike2,hub8,425,1043
trike3,hub8,341,1080
trike4,hub8,370,1080
trike5,hub8,340,1080
trike6,hub8,594,1080
trike7,hub8,414,1080
trike8,hub8,291,985
trike9,hub8,622,1080
trike10,hub7,395,1048
trike11,hub7,297,1080
trike12,hub7,373,1080
trike13,hub7,511,1043
trike14,hub7,379,1080
trike15,hub6,613,1080
trike16,hub6,362,1080
trike17,hub6,456,1080
trike18,hub6,451,1080
trike19,hub6,342,1080
trike20,hub5,383,1080
trike21,hub5,319,1080
trike22,hub5,572,1033
trike23,hub5,389,1080
trike24,hub5,461,1080
trike25,hub5,255,1012
trike26,hub5,326,1080
trike27,hub5,463,1055
trike28,hub5,466,1080
trike29,hub5,415,789
trike30,hub4,322,1029
trike31,hub4,716,1080
trike32,hub4,339,1080
trike33,hub4,383,982
trike34,hub4,377,1080
trike35,hub3,411,1080
trike36,hub3,357,1080
trike37,hub3,308,1080
trike38,hub3,373,1080
trike39,hub3,517,1080
trike40,hub2,356,1080
trike41,hub2,514,1080
trike42,hub2,227,853
trike43,hub2,330,1080
trike44,hub2,435,1080
trike45,hub1,376,1080
trike46,hub1,434,1080
trike47,hub1,515,1080
trike48,hub1,336,1080
trike49,hub1,470,1080
trike50,hub1,472,1080
trike51,hub1,310,1080
trike52,hub1,350,1080
trike53,hub1,364,1080
trike54,hub1,439,1080
trike55,hub1,302,776
trike56,hub1,448,1080
trike57,hub1,511,575
trike58,hub1,387,736
trike59,hub1,402,1080
trike60,hub0,403,1080
trike61,hub0,343,1080
trike62,hub0,316,884
trike63,hub0,348,1080
trike64,hub0,447,1080
