trike_id,hub_id,start_tick,end_tick
trike0,hub8,351,1080
trike1,hub8,436,1080
trike2,hub8,578,1080
trike3,hub8,573,1080
trike4,hub8,364,1080
trike5,hub8,302,1080
trike6,hub8,476,1080
trike7,hub8,453,1080
trike8,hub8,406,939
trike9,hub8,424,1080
trike10,hub7,323,860
trike11,hub7,378,1068
trike12,hub7,479,1030
trike13,hub7,351,1080
trike14,hub7,367,1080
trike15,hub6,306,1080
trike16,hub6,303,1080
trike17,hub6,470,1080
trike18,hub6,473,944
trike19,hub6,395,1076
trike20,hub5,426,1080
trike21,hub5,411,1080
trike22,hub5,449,1080
trike23,hub5,276,1080
trike24,hub5,499,1080
trike25,hub5,592,1080
trike26,hub5,446,1080
trike27,hub5,470,1080
trike28,hub5,461,816
trike29,hub5,324,1080
trike30,hub4,602,1080
trike31,hub4,353,916
trike32,hub4,304,907
trike33,hub4,427,1080
trike34,hub4,445,954
trike35,hub3,387,882
trike36,hub3,535,1080
trike37,hub3,360,987
trike38,hub3,405,1080
trike39,hub3,376,899
trike40,hub2,320,1080
trike41,hub2,404,1080
trike42,hub2,275,1080
trike43,hub2,448,1080
trike44,hub2,493,1072
trike45,hub1,375,1080
trike46,hub1,419,865
trike47,hub1,342,1080
trike48,hub1,390,1080
trike49,hub1,434,1065
trike50,hub1,491,1080
trike51,hub1,469,1080
trike52,hub1,383,1080
trike53,hub1,404,1080
trike54,hub1,355,1080
trike55,hub1,349,1080
trike56,hub1,444,1080
trike57,hub1,414,1080
trike58,hub1,365,1080
trike59,hub1,350,1080
trike60,hub0,440,1080
trike61,hub0,376,1080
trike62,hub0,437,1080
trike63,hub0,304,1080
trike64,hub0,485,1080
