run_id,trike_id,origin_edge,dest_edge,distance,price,tick
run002,trike40,E74,E3,859.9,50,192
run002,trike63,E196,-E3,2184.4599999999996,120,148
run002,trike38,E97,E28,2061.25,120,385
run002,trike15,E57,E3,1232.02,70,387
run002,trike28,E41,E0,1163.06,70,418
run002,trike40,E74,E3,859.9,50,614
run002,trike61,E196,E0,1127.39,70,422
run002,trike59,E154,-E3,924.1600000000002,50,602
run002,trike4,E23,E3,1633.77,100,523
run002,trike54,E154,E28,1486.3799999999999,70,474
run002,trike21,E41,E56,989.8399999999998,50,677
run002,trike27,E41,E56,989.8399999999998,50,728
run002,trike16,E57,E3,1981.46,100,544
run002,trike38,E97,-E3,1114.34,70,851
run002,trike53,E154,E0,1699.0499999999997,100,694
run002,trike51,E154,E56,845.02,50,970
run002,trike40,E74,E3,859.9,50,1158
run002,trike23,E41,E3,2062.82,120,1135
run002,trike11,E162,E56,1082.3,70,984
run002,trike54,E154,E28,1486.3799999999999,70,1056
run002,trike27,E41,E3,429.76,50,1436
run002,trike39,E97,E3,1073.3,70,1366
run002,trike59,E154,-E3,924.1600000000002,50,1435
run002,trike28,E41,E0,1163.06,70,1443
run002,trike62,E196,-E3,2184.4599999999996,120,1494
run002,trike27,E41,E0,1163.06,70,1474
run002,trike5,E23,E56,2328.2799999999997,120,1313
run002,trike49,E154,E3,883.1200000000001,50,1656
run002,trike55,E154,E56,845.02,50,1803
run002,trike15,E57,E3,1541.2899999999997,100,1737
run002,trike45,E154,E0,1699.0499999999997,100,1664
run002,trike11,E162,E0,1305.6700000000003,70,1731
run002,trike33,E106,E0,634.4699999999999,50,2075
run002,trike51,E154,E56,845.02,50,1917
run002,trike23,E41,E56,989.8399999999998,50,1979
run002,trike21,E41,E56,989.8399999999998,50,2225
run002,trike33,E106,-E3,1855.4899999999998,100,2176
run002,trike36,E97,E56,1767.81,100,2127
run002,trike17,E57,E3,1232.02,70,2454
run002,trike56,E154,-E3,924.1600000000002,50,2365
run002,trike29,E41,-E3,470.8,50,2557
run002,trike4,E23,E28,464.25999999999993,50,2534
run002,trike40,E74,-E3,900.94,50,2650
run002,trike2,E23,E28,464.25999999999993,50,2593
run002,trike23,E41,E3,429.76,50,2789
run002,trike58,E154,E3,883.1200000000001,50,2716
run002,trike46,E154,E56,845.02,50,2676
run002,trike29,E41,E56,989.8399999999998,50,2708
run002,trike39,E97,E56,1767.81,100,2475
run002,trike38,E97,E28,2061.25,120,2818
run002,trike1,E23,E0,617.7399999999999,50,2750
run002,trike5,E23,E28,464.25999999999993,50,2779
run002,trike49,E154,E56,1354.3899999999999,70,2840
run002,trike16,E57,E28,1938.6399999999999,100,2684
run002,trike18,E57,E28,1938.6399999999999,100,2693
run002,trike63,E196,E0,1127.39,70,3005
run002,trike3,E23,E28,464.25999999999993,50,3170
run002,trike28,E41,-E3,470.8,50,3226
run002,trike30,E106,E28,2802.4,150,3242
run002,trike33,E106,-E3,1855.4899999999998,100,3049
run002,trike62,E196,E28,973.91,50,3157
run002,trike51,E154,-E3,924.1600000000002,50,3210
run002,trike24,E41,E0,1163.06,70,3254
run002,trike45,E154,E28,1486.3799999999999,70,3087
run002,trike61,E196,E28,973.91,50,3240
run002,trike10,E162,E3,1334.5600000000002,70,3311
run002,trike2,E23,E0,617.7399999999999,50,3412
run002,trike53,E154,E3,883.1200000000001,50,3416
run002,trike4,E23,E28,464.25999999999993,50,3507
run002,trike28,E41,-E3,1028.19,70,3466
run002,trike15,E57,E56,1554.14,100,3281
run002,trike11,E162,-E3,1375.6000000000001,70,3473
run002,trike38,E97,E3,1073.3,70,3554
run002,trike5,E23,E0,617.7399999999999,50,3607
run002,trike22,E41,E56,989.8399999999998,50,3600
run002,trike17,E57,E56,471.51,50,3759
run002,trike42,E74,E28,1860.2799999999995,100,3491
run002,trike45,E154,-E3,924.1600000000002,50,3741
run002,trike39,E97,E3,1073.3,70,3795
run002,trike49,E154,E0,1699.0499999999997,100,3650
run002,trike29,E41,-E3,470.8,50,3946
run002,trike52,E154,E3,883.1200000000001,50,3879
run002,trike64,E196,E3,2143.4199999999996,120,3849
run002,trike29,E41,-E3,470.8,50,3971
run002,trike40,E74,E0,1928.1699999999996,100,3747
run002,trike16,E57,E28,1938.6399999999999,100,3673
run002,trike51,E154,E28,1486.3799999999999,70,3749
run002,trike56,E154,E28,1486.3799999999999,70,3723
run002,trike50,E154,E28,1486.3799999999999,70,3784
run002,trike54,E154,-E3,924.1600000000002,50,3907
run002,trike55,E154,E3,883.1200000000001,50,3952
run002,trike58,E154,-E3,924.1600000000002,50,3915
run002,trike47,E154,E56,845.02,50,3963
run002,trike17,E57,E3,1232.02,70,4058
run002,trike3,E23,-E3,1674.81,100,3905
run002,trike28,E41,E3,429.76,50,4208
run002,trike23,E41,E28,1848.2099999999998,100,3792
run002,trike63,E196,E0,1127.39,70,4011
run002,trike21,E41,E56,989.8399999999998,50,4169
run002,trike61,E196,-E3,1674.81,100,3975
run002,trike62,E196,E0,1127.39,70,4171
run002,trike53,E154,-E3,924.1600000000002,50,4175
run002,trike42,E74,E3,859.9,50,4367
run002,trike10,E162,-E3,1375.6000000000001,70,4191
run002,trike19,E57,E0,2092.1200000000003,120,4019
run002,trike42,E74,E3,859.9,50,4405
run002,trike5,E23,E3,1633.77,100,4251
run002,trike2,E23,E28,464.25999999999993,50,4423
run002,trike43,E74,E56,838.5799999999999,50,4444
run002,trike15,E57,E3,1232.02,70,4533
run002,trike25,E41,E3,429.76,50,4571
run002,trike45,E154,E3,883.1200000000001,50,4471
run002,trike24,E41,E56,1082.1,70,4409
run002,trike33,E106,E0,634.4699999999999,50,4629
run002,trike48,E154,E28,1486.3799999999999,70,4410
run002,trike51,E154,-E3,924.1600000000002,50,4594
run002,trike29,E41,E28,2016.2099999999998,120,4283
run002,trike36,E97,E56,1767.81,100,4480
run002,trike22,E41,E0,1296.4500000000003,70,4556
run002,trike21,E41,E3,429.76,50,4905
run002,trike40,E74,-E3,900.94,50,4907
run002,trike33,E106,-E3,1855.4899999999998,100,4726
run002,trike1,E23,E28,464.25999999999993,50,5034
run002,trike56,E154,E28,1486.3799999999999,70,4819
run002,trike35,E97,-E3,1114.34,70,5009
run002,trike54,E154,E0,1532.48,100,4995
run002,trike9,E23,E28,464.25999999999993,50,5120
run002,trike55,E154,E28,1486.3799999999999,70,4929
run002,trike47,E154,E28,1486.3799999999999,70,4933
run002,trike28,E41,E0,951.6999999999998,50,5067
run002,trike38,E97,E28,2061.25,120,5235
run002,trike29,E41,-E3,470.8,50,5255
run002,trike10,E162,-E3,1375.6000000000001,70,5039
run002,trike45,E154,-E3,924.1600000000002,50,5178
run002,trike59,E154,E56,845.02,50,5164
run002,trike43,E74,E3,859.9,50,5346
run002,trike23,E41,-E3,470.8,50,5402
run002,trike61,E196,-E3,2184.4599999999996,120,5330
run002,trike62,E196,-E3,2184.4599999999996,120,5345
run002,trike29,E41,-E3,470.8,50,5407
run002,trike48,E154,-E3,1855.4899999999998,100,5182
run002,trike4,E23,-E3,1674.81,100,5204
run002,trike18,E57,E28,1938.6399999999999,100,5152
run002,trike24,E41,E28,2016.2099999999998,120,4996
run002,trike39,E97,E28,2061.25,120,5491
run002,trike63,E196,E56,1516.28,100,5222
run002,trike21,E41,E3,429.76,50,5576
run002,trike50,E154,E56,845.02,50,5452
run002,trike16,E57,E56,471.51,50,5656
run002,trike64,E196,E0,1127.39,70,5441
run002,trike17,E57,E56,471.51,50,5679
run002,trike31,E106,E0,634.4699999999999,50,5710
run002,trike40,E74,E56,838.5799999999999,50,5658
run002,trike33,E106,-E3,1855.4899999999998,100,5490
run002,trike42,E74,E28,1860.2799999999995,100,5461
run002,trike56,E154,-E3,924.1600000000002,50,5615
run002,trike55,E154,-E3,2184.4599999999996,120,5698
run002,trike1,E23,E0,617.7399999999999,50,5753
run002,trike30,E106,E0,634.4699999999999,50,5857
run002,trike37,E97,E3,1073.3,70,5784
run002,trike38,E97,E56,1767.81,100,5676
run002,trike35,E97,E3,1073.3,70,5840
run002,trike36,E97,-E3,1114.34,70,5871
run002,trike5,E23,E3,1633.77,100,5774
run002,trike25,E41,E28,2016.2099999999998,120,5552
run002,trike15,E57,E3,1232.02,70,6053
run002,trike17,E57,-E3,1273.06,70,6060
run002,trike62,E196,E28,973.91,50,6054
run002,trike31,E106,-E3,1855.4899999999998,100,5877
run002,trike24,E41,E0,1163.06,70,6089
run002,trike29,E41,-E3,900.94,50,6160
run002,trike46,E154,E3,883.1200000000001,50,6176
run002,trike2,E23,E28,464.25999999999993,50,6263
run002,trike49,E154,-E3,924.1600000000002,50,6209
run002,trike43,E74,-E3,900.94,50,6249
run002,trike64,E196,E28,973.91,50,6209
run002,trike54,E154,-E3,924.1600000000002,50,6312
run002,trike27,E41,-E3,470.8,50,6406
run002,trike35,E97,E28,2061.25,120,6434
run002,trike37,E97,E28,2061.25,120,6435
run002,trike12,E162,E3,1236.8100000000002,70,6286
run002,trike0,E23,E28,464.25999999999993,50,6428
run002,trike50,E154,E56,845.02,50,6376
run002,trike21,E41,E56,2536.16,150,6001
run002,trike61,E196,E3,2143.4199999999996,120,6469
run002,trike30,E106,E0,634.4699999999999,50,6636
run002,trike47,E154,E28,1486.3799999999999,70,6396
run002,trike23,E41,E28,2016.2099999999998,120,6154
run002,trike58,E154,-E3,924.1600000000002,50,6554
run002,trike10,E162,E56,336.58,50,6602
run002,trike39,E97,E3,1073.3,70,6576
run002,trike64,E196,-E3,2184.4599999999996,120,6677
run002,trike33,E106,E0,634.4699999999999,50,6792
run002,trike11,E162,-E3,1375.6000000000001,70,6614
run002,trike45,E154,-E3,924.1600000000002,50,6703
run002,trike19,E57,E56,471.51,50,6864
run002,trike40,E74,-E3,900.94,50,6877
run002,trike30,E106,-E3,1855.4899999999998,100,6662
run002,trike53,E154,E28,1486.3799999999999,70,6596
run002,trike33,E106,E28,2802.4,150,6936
run002,trike9,E23,E56,2141.7799999999993,120,6541
run002,trike42,E74,E0,1928.1699999999996,100,6655
run002,trike51,E154,-E3,924.1600000000002,50,6920
run002,trike63,E196,-E3,2184.4599999999996,120,6920
run002,trike22,E41,E28,2016.2099999999998,120,6637
run002,trike37,E97,E28,2061.25,120,7107
run002,trike2,E23,-E3,1488.3099999999997,70,6937
run002,trike4,E23,E0,431.2399999999999,50,7108
run002,trike29,E41,E56,989.8399999999998,50,7067
