trike_id,hub_id,start_tick,end_tick
trike0,hub8,288,1080
trike1,hub8,414,1080
trike2,hub8,386,1080
trike3,hub8,337,963
trike4,hub8,620,1034
trike5,hub8,331,1080
trike6,hub8,273,939
trike7,hub8,295,1080
trike8,hub8,492,698
trike9,hub8,483,1080
trike10,hub7,243,1080
trike11,hub7,386,1080
trike12,hub7,362,1080
trike13,hub7,402,939
trike14,hub7,361,1080
trike15,hub6,429,1064
trike16,hub6,405,1020
trike17,hub6,319,1080
trike18,hub6,386,1080
trike19,hub6,521,1080
trike20,hub5,405,1080
trike21,hub5,326,1080
trike22,hub5,425,1080
trike23,hub5,259,1080
trike24,hub5,435,1080
trike25,hub5,425,942
trike26,hub5,691,957
trike27,hub5,342,1080
trike28,hub5,325,1080
trike29,hub5,453,1041
trike30,hub4,554,1080
trike31,hub4,287,1044
trike32,hub4,371,1080
trike33,hub4,598,1080
trike34,hub4,443,1080
trike35,hub3,422,1080
trike36,hub3,539,1077
trike37,hub3,293,1080
trike38,hub3,399,895
trike39,hub3,404,1080
trike40,hub2,331,1080
trike41,hub2,391,1080
trike42,hub2,429,1080
trike43,hub2,360,1026
trike44,hub2,329,1080
trike45,hub1,387,1072
trike46,hub1,312,1080
trike47,hub1,349,1080
trike48,hub1,345,1080
trike49,hub1,527,982
trike50,hub1,253,1043
trike51,hub1,525,1080
trike52,hub1,374,893
trike53,hub1,449,1080
trike54,hub1,311,1080
trike55,hub1,343,987
trike56,hub1,318,1080
trike57,hub1,322,1080
trike58,hub1,342,1080
trike59,hub1,409,1080
trike60,hub0,367,1080
trike61,hub0,546,689
trike62,hub0,548,1080
trike63,hub0,327,1080
trike64,hub0,438,1080
