trike_id,hub_id,start_tick,end_tick
trike0,hub8,429,1080
trike1,hub8,341,1080
trike2,hub8,322,1080
trike3,hub8,426,905
trike4,hub8,317,1080
trike5,hub8,580,1080
trike6,hub8,308,819
trike7,hub8,394,1080
trike8,hub8,470,1076
trike9,hub8,374,1080
trike10,hub7,344,1080
trike11,hub7,306,1080
trike12,hub7,319,1080
trike13,hub7,331,1080
trike14,hub7,496,792
trike15,hub6,396,1080
trike16,hub6,393,1080
trike17,hub6,349,1080
trike18,hub6,427,1080
trike19,hub6,323,1080
trike20,hub5,395,1080
trike21,hub5,354,1080
trike22,hub5,412,1080
trike23,hub5,415,1080
trike24,hub5,431,1080
trike25,hub5,464,768
trike26,hub5,377,1080
trike27,hub5,347,1080
trike28,hub5,271,972
trike29,hub5,519,1080
trike30,hub4,391,1080
trike31,hub4,404,1080
trike32,hub4,352,1058
trike33,hub4,317,1080
trike34,hub4,346,1080
trike35,hub3,487,1080
trike36,hub3,458,1080
trike37,hub3,434,1080
trike38,hub3,409,1080
trike39,hub3,338,1080
trike40,hub2,399,1080
trike41,hub2,331,1080
trike42,hub2,330,1080
trike43,hub2,379,1071
trike44,hub2,405,1080
trike45,hub1,245,1080
trike46,hub1,530,1080
trike47,hub1,405,1080
trike48,hub1,335,1080
trike49,hub1,333,1005
trike50,hub1,444,955
trike51,hub1,458,1080
trike52,hub1,262,1080
trike53,hub1,303,1080
trike54,hub1,416,1080
trike55,hub1,390,1080
trike56,hub1,657,1080
trike57,hub1,437,1080
trike58,hub1,382,1080
trike59,hub1,277,1067
trike60,hub0,483,1080
trike61,hub0,389,1080
trike62,hub0,432,1061
trike63,hub0,479,955
trike64,hub0,371,1080
