trike_id,hub_id,start_tick,end_tick
trike0,hub8,318,1080
trike1,hub8,416,1080
trike2,hub8,414,1080
trike3,hub8,416,807
trike4,hub8,326,1080
trike5,hub8,342,1020
trike6,hub8,314,1080
trike7,hub8,329,1080
trike8,hub8,364,1080
trike9,hub8,522,1080
trike10,hub7,396,1080
trike11,hub7,439,988
trike12,hub7,515,1080
trike13,hub7,351,900
trike14,hub7,371,1080
trike15,hub6,434,1080
trike16,hub6,446,1080
trike17,hub6,521,1080
trike18,hub6,353,1080
trike19,hub6,446,1080
trike20,hub5,657,1080
trike21,hub5,508,1080
trike22,hub5,503,1080
trike23,hub5,360,1080
trike24,hub5,503,835
trike25,hub5,305,1080
trike26,hub5,412,890
trike27,hub5,538,1080
trike28,hub5,290,1080
trike29,hub5,367,952
trike30,hub4,330,1080
trike31,hub4,398,1080
trike32,hub4,229,1080
trike33,hub4,399,981
trike34,hub4,315,1080
trike35,hub3,357,946
trike36,hub3,358,780
trike37,hub3,392,1080
trike38,hub3,414,1080
trike39,hub3,337,1080
trike40,hub2,262,973
trike41,hub2,250,1080
trike42,hub2,294,1080
trike43,hub2,300,1080
trike44,hub2,360,1080
trike45,hub1,553,1080
trike46,hub1,501,815
trike47,hub1,404,1080
trike48,hub1,392,1080
trike49,hub1,603,1080
trike50,hub1,524,1080
trike51,hub1,403,1080
trike52,hub1,470,1080
trike53,hub1,316,1047
trike54,hub1,373,1080
trike55,hub1,386,1070
trike56,hub1,495,1080
trike57,hub1,358,817
trike58,hub1,318,1080
trike59,hub1,314,1080
trike60,hub0,445,1080
trike61,hub0,629,1000
trike62,hub0,622,866
trike63,hub0,620,1080
trike64,hub0,416,1017
